# UFC Fight Night: Rosas Jr. vs. Barcelos | 2026-09-26 | Meta Apex, Enterprise, Nevada , United States
## Main card
Raul Rosas Jr vs. Raoni Barcelos | 5 | Bantamweight
Norma Dumont vs. Ailín Pérez | Women's Bantamweight
Luis Hernandez vs. Sedriques Dumas | Light Heavyweight
Mehemmedeli Osmanli vs. Ilimbek Akylbek uulu | Bantamweight
Melissa Amaya vs. Valesca Machado | Women's Strawweight
## Prelims
Brady Hiestand vs. Rinya Nakamura | Bantamweight
Rodolfo Vieira vs. Robert Bryczek | Middleweight
Rodolfo Bellato vs. Christian Edwards | Light Heavyweight
Elves Brener vs. Josiah Harrell | Lightweight
Montel Jackson vs. Ricky Simón | Bantamweight
John Castañeda vs. Alateng Heili | Bantamweight
Vanessa Demopoulos vs. Yazmin Jauregui | Women's Strawweight
